product_id,product_name,category,age_group,nova,nutrition_score,ingredient_score,processing_score,additive_score,final_score,grade,cliff_penalty,dominant_nutrient,missing_data,flags
46,"Horlicks Classic Malt","Health Drinks",child,4,16,50,100,54,26,D+,0,totalSugar,false,"amplified_exposure_category"
46,"Horlicks Classic Malt","Health Drinks",teen,4,34,50,100,54,32,C-,0,totalSugar,false,"amplified_exposure_category"
46,"Horlicks Classic Malt","Health Drinks",adult,4,24,50,100,54,29,D+,0,totalSugar,false,"amplified_exposure_category"
46,"Horlicks Classic Malt","Health Drinks",elderly,4,24,50,100,54,29,D+,0,totalSugar,false,"amplified_exposure_category"
47,"Kellogg's Chocos","Muesli & Cereals",child,4,26,47,90,100,35,C-,0,addedSugar,false,""
47,"Kellogg's Chocos","Muesli & Cereals",teen,4,42,47,90,100,41,C,0,addedSugar,false,""
47,"Kellogg's Chocos","Muesli & Cereals",adult,4,33,47,90,100,38,C-,0,addedSugar,false,""
47,"Kellogg's Chocos","Muesli & Cereals",elderly,4,34,47,90,100,38,C-,0,addedSugar,false,""
48,"Kellogg's Muesli","Muesli & Cereals",child,4,31,35,90,71,32,C-,0,addedSugar,false,"sugar_split"
48,"Kellogg's Muesli","Muesli & Cereals",teen,4,48,35,90,71,38,C-,0,addedSugar,false,"sugar_split"
48,"Kellogg's Muesli","Muesli & Cereals",adult,4,39,35,90,71,34,C-,0,addedSugar,false,"sugar_split"
48,"Kellogg's Muesli","Muesli & Cereals",elderly,4,40,35,90,71,35,C-,0,addedSugar,false,"sugar_split"
49,"Kellogg's Muesli Fruit Nut & Seeds","Muesli & Cereals",child,4,35,53,90,75,36,C-,0,addedSugar,false,""
49,"Kellogg's Muesli Fruit Nut & Seeds","Muesli & Cereals",teen,4,50,53,90,75,41,C,0,addedSugar,false,""
49,"Kellogg's Muesli Fruit Nut & Seeds","Muesli & Cereals",adult,4,43,53,90,75,38,C-,0,addedSugar,false,""
49,"Kellogg's Muesli Fruit Nut & Seeds","Muesli & Cereals",elderly,4,44,53,90,75,39,C-,0,addedSugar,false,""
50,"Kurkure Chilli Chatka","Chips & Snacks",child,4,27,53,100,63,32,C-,0,saturatedFat,false,"allergen_undeclared"
50,"Kurkure Chilli Chatka","Chips & Snacks",teen,4,46,53,100,63,38,C-,0,saturatedFat,false,"allergen_undeclared"
50,"Kurkure Chilli Chatka","Chips & Snacks",adult,4,38,53,100,63,36,C-,0,saturatedFat,false,"allergen_undeclared"
